Ticker,Type,Price,TIR (%),Maturity Date
AL30D,hard_dollar,63.96,11.67,2030-07-09
GD30D,hard_dollar,66.71,9.56,2030-07-09
AL29D,hard_dollar,66.40,12.00,2029-07-09
GD29D,hard_dollar,69.70,9.00,2029-07-09
AE38D,hard_dollar,74.99,11.19,2038-01-09
AL35D,hard_dollar,71.89,10.85,2035-07-09
GD35D,hard_dollar,73.80,10.36,2035-07-09
AL41D,hard_dollar,67.10,10.72,2041-07-09
GD38D,hard_dollar,77.24,10.54,2038-01-09
GD41D,hard_dollar,68.51,10.36,2041-07-09
GD46D,hard_dollar,68.95,9.94,2046-07-09
S10N5,lecap_boncap,122.03,74.06,2025-11-10
S16E6,lecap_boncap,116.29,12.68,2026-01-16
S28N5,lecap_boncap,121.80,25.58,2025-11-28
T30E6,lecap_boncap,133.10,32.48,2026-01-30
T30J6,lecap_boncap,120.25,33.25,2026-06-30
T15D5,lecap_boncap,166.40,27.09,2025-12-15
T15E7,lecap_boncap,117.10,25.71,2027-01-15
T30J6,lecap_boncap,120.25,33.25,2026-06-30
TY30P,lecap_boncap,116.70,29.82,2030-05-30
